Token: CLASS, Value: null
Token: ID, Value: Program
Token: LBRACE, Value: null
Token: BOOLEAN, Value: null
Token: ID, Value: entrada
Token: SEMI, Value: null
Token: INT, Value: null
Token: ID, Value: numeros
Token: SEMI, Value: null
Token: INT, Value: null
Token: ID, Value: suma
Token: LPAREN, Value: null
Token: INT, Value: null
Token: ID, Value: valor1
Token: COMMA, Value: null
Token: INT, Value: null
Token: ID, Value: valor2
Token: RPAREN, Value: null
Token: LBRACE, Value: null
Token: INT, Value: null
Token: ID, Value: res
Token: SEMI, Value: null
Token: ID, Value: res
Token: ASSIGN, Value: null
Token: ID, Value: valor1
Token: PLUS, Value: null
Token: ID, Value: valor2
Token: SEMI, Value: null
Token: RETURN, Value: null
Token: ID, Value: res
Token: SEMI, Value: null
Token: RBRACE, Value: null
Token: VOID, Value: null
Token: ID, Value: main
Token: LPAREN, Value: null
Token: RPAREN, Value: null
Token: LBRACE, Value: null
Token: INT, Value: null
Token: ID, Value: resultado1
Token: COMMA, Value: null
Token: ID, Value: resultado2
Token: SEMI, Value: null
Token: BOOLEAN, Value: null
Token: ID, Value: resultado3
Token: SEMI, Value: null
Token: ID, Value: entrada
Token: ASSIGN, Value: null
Token: TRUE, Value: null
Token: SEMI, Value: null
Token: IF, Value: null
Token: LPAREN, Value: null
Token: ID, Value: entrada
Token: EQ, Value: null
Token: TRUE, Value: null
Token: RPAREN, Value: null
Token: LBRACE, Value: null
Token: ID, Value: resultado1
Token: ASSIGN, Value: null
Token: ID, Value: suma
Token: LPAREN, Value: null
Token: INT_LITERAL, Value: 3
Token: COMMA, Value: null
Token: INT_LITERAL, Value: 2
Token: RPAREN, Value: null
Token: SEMI, Value: null
Token: RBRACE, Value: null
Token: ID, Value: entrada
Token: ASSIGN, Value: null
Token: FALSE, Value: null
Token: SEMI, Value: null
Token: IF, Value: null
Token: LPAREN, Value: null
Token: ID, Value: entrada
Token: EQ, Value: null
Token: TRUE, Value: null
Token: RPAREN, Value: null
Token: LBRACE, Value: null
Token: ID, Value: resultado1
Token: ASSIGN, Value: null
Token: ID, Value: resta
Token: LPAREN, Value: null
Token: INT_LITERAL, Value: 3
Token: COMMA, Value: null
Token: INT_LITERAL, Value: 2
Token: RPAREN, Value: null
Token: SEMI, Value: null
Token: RBRACE, Value: null
Token: RBRACE, Value: null
Token: RBRACE, Value: null
